movie_title,rating
Avatar ,3.95
Pirates of the Caribbean: At World's End ,3.55
Spectre ,3.4
The Dark Knight Rises ,4.25
Star Wars: Episode VII - The Force Awakens             ,3.55
John Carter ,3.3
Spider-Man 3 ,3.1
Tangled ,3.9
Avengers: Age of Ultron ,3.75
Harry Potter and the Half-Blood Prince ,3.75
Batman v Superman: Dawn of Justice ,3.45
Superman Returns ,3.05
Quantum of Solace ,3.35
Pirates of the Caribbean: Dead Man's Chest ,3.65
The Lone Ranger ,3.25
Man of Steel ,3.6
The Chronicles of Narnia: Prince Caspian ,3.3
The Avengers ,4.05
Pirates of the Caribbean: On Stranger Tides ,3.35
Men in Black 3 ,3.4
The Hobbit: The Battle of the Five Armies ,3.75
The Amazing Spider-Man ,3.5
Robin Hood ,3.35
The Hobbit: The Desolation of Smaug ,3.95
The Golden Compass ,3.05
King Kong ,3.6
Titanic ,3.85
Captain America: Civil War ,4.1
Battleship ,2.95
Jurassic World ,3.5
Skyfall ,3.9
Spider-Man 2 ,3.65
Iron Man 3 ,3.6
Alice in Wonderland ,3.25
X-Men: The Last Stand ,3.4
Monsters University ,3.65
Transformers: Revenge of the Fallen ,3.0
Transformers: Age of Extinction ,2.85
Oz the Great and Powerful ,3.2
The Amazing Spider-Man 2 ,3.35
TRON: Legacy ,3.4
Cars 2 ,3.15
Green Lantern ,2.8
Toy Story 3 ,4.15
Terminator Salvation ,3.3
Furious 7 ,3.6
World War Z ,3.5
X-Men: Days of Future Past ,4.0
Star Trek Into Darkness ,3.9
Jack the Giant Slayer ,3.15
The Great Gatsby ,3.65
Prince of Persia: The Sands of Time ,3.3
Pacific Rim ,3.5
Transformers: Dark of the Moon ,3.15
Indiana Jones and the Kingdom of the Crystal Skull ,3.1
The Good Dinosaur ,3.4
Brave ,3.6
Star Trek Beyond ,3.75
WALL·E ,4.2
Rush Hour 3 ,3.1
2012 ,2.9
A Christmas Carol ,3.4
Jupiter Ascending ,2.7
The Legend of Tarzan ,3.3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",3.45
X-Men: Apocalypse ,3.65
The Dark Knight ,4.5
Up ,4.15
Monsters vs. Aliens ,3.25
Iron Man ,3.95
Hugo ,3.75
Wild Wild West ,2.4
The Mummy: Tomb of the Dragon Emperor ,2.6
Suicide Squad ,3.45
Evan Almighty ,2.7
Edge of Tomorrow ,3.95
Waterworld ,3.05
G.I. Joe: The Rise of Cobra ,2.9
Inside Out ,4.15
The Jungle Book ,3.9
Iron Man 2 ,3.5
Snow White and the Huntsman ,3.05
Maleficent ,3.5
Dawn of the Planet of the Apes ,3.8
The Lovers ,2.25
47 Ronin ,3.15
Captain America: The Winter Soldier ,3.9
Shrek Forever After ,3.2
Tomorrowland ,3.25
Big Hero 6 ,3.95
Wreck-It Ralph ,3.9
The Polar Express ,3.3
Independence Day: Resurgence ,2.75
How to Train Your Dragon ,4.1
Terminator 3: Rise of the Machines ,3.2
Guardians of the Galaxy ,4.05
Interstellar ,4.3
Inception ,4.4
Godzilla Resurgence ,4.1
The Hobbit: An Unexpected Journey ,3.95
The Fast and the Furious ,3.35
The Curious Case of Benjamin Button ,3.9
X-Men: First Class ,3.9
The Hunger Games: Mockingjay - Part 2 ,3.3
The Sorcerer's Apprentice ,3.05
Poseidon ,2.8
Alice Through the Looking Glass ,3.2
Shrek the Third ,3.05
Warcraft ,3.65
Terminator Genisys ,3.3
The Chronicles of Narnia: The Voyage of the Dawn Treader ,3.15
Pearl Harbor ,3.05
Transformers ,3.55
Alexander ,2.75
Harry Potter and the Order of the Phoenix ,3.75
Harry Potter and the Goblet of Fire ,3.8
Hancock ,3.2
I Am Legend ,3.6
Charlie and the Chocolate Factory ,3.35
Ratatouille ,4.0
Batman Begins ,4.15
Madagascar: Escape 2 Africa ,3.35
Night at the Museum: Battle of the Smithsonian ,2.95
X-Men Origins: Wolverine ,3.35
The Matrix Revolutions ,3.35
Frozen ,3.8
The Matrix Reloaded ,3.6
Thor: The Dark World ,3.55
Mad Max: Fury Road ,4.05
Angels & Demons ,3.35
Thor ,3.5
Bolt ,3.45
G-Force ,2.55
Wrath of the Titans ,2.9
Dark Shadows ,3.1
Mission: Impossible - Rogue Nation ,3.7
The Wolfman ,2.9
The Legend of Tarzan ,3.3
Bee Movie ,3.1
Kung Fu Panda 2 ,3.65
The Last Airbender ,2.1
Mission: Impossible III ,3.45
White House Down ,3.2
Mars Needs Moms ,2.7
Flushed Away ,3.35
Pan ,2.9
Mr. Peabody & Sherman ,3.45
Troy ,3.6
Madagascar 3: Europe's Most Wanted ,3.45
Die Another Day ,3.05
Ghostbusters ,2.75
Armageddon ,3.3
Men in Black II ,3.05
Beowulf ,3.15
Kung Fu Panda 3 ,3.6
Mission: Impossible - Ghost Protocol ,3.7
Rise of the Guardians ,3.65
Fun with Dick and Jane ,3.05
The Last Samurai ,3.85
Exodus: Gods and Kings ,3.05
Star Trek ,4.0
Spider-Man ,3.65
How to Train Your Dragon 2 ,3.95
Gods of Egypt ,2.75
Stealth ,2.5
Watchmen ,3.85
Lethal Weapon 4 ,3.3
Hulk ,2.85
G.I. Joe: Retaliation ,2.9
Sahara ,3.0
Final Fantasy: The Spirits Within ,3.2
Captain America: The First Avenger ,3.45
The World Is Not Enough ,3.2
Master and Commander: The Far Side of the World ,3.7
The Twilight Saga: Breaking Dawn - Part 2 ,2.75
Happy Feet 2 ,2.95
The Incredible Hulk ,3.4
Miami Vice             ,3.75
The BFG ,3.4
The Revenant ,4.05
Turbo ,3.25
Rango ,3.6
Penguins of Madagascar ,3.35
The Bourne Ultimatum ,4.05
Kung Fu Panda ,3.8
Ant-Man ,3.7
The Hunger Games: Catching Fire ,3.8
The Twilight Saga: Breaking Dawn - Part 2 ,2.75
Home ,3.35
War of the Worlds ,3.25
Bad Boys II ,3.3
Puss in Boots ,3.35
Salt ,3.2
Noah ,2.9
The Adventures of Tintin ,3.7
Harry Potter and the Prisoner of Azkaban ,3.9
Australia ,3.3
After Earth ,2.45
Dinosaur ,3.25
Harry Potter and the Deathly Hallows: Part II ,3.75
Night at the Museum: Secret of the Tomb ,3.1
Megamind ,3.65
Harry Potter and the Sorcerer's Stone ,3.75
R.I.P.D. ,2.8
Godzilla Resurgence ,4.1
Pirates of the Caribbean: The Curse of the Black Pearl ,4.05
Harry Potter and the Deathly Hallows: Part I ,3.2
The Hunger Games: Mockingjay - Part 1 ,3.35
The Da Vinci Code ,3.3
Rio 2 ,3.2
X-Men 2 ,3.75
Fast Five ,3.65
Sherlock Holmes: A Game of Shadows ,3.75
Clash of the Titans ,2.9
Total Recall ,3.75
The 13th Warrior ,3.3
The Bourne Legacy ,3.35
Batman & Robin ,1.85
How the Grinch Stole Christmas ,3.0
The Day After Tomorrow ,3.2
Mission: Impossible II ,3.05
The Perfect Storm ,3.2
Fantastic 4: Rise of the Silver Surfer ,2.8
Life of Pi ,4.0
Ghost Rider ,2.6
Jason Bourne ,3.55
Charlie's Angels: Full Throttle ,2.4
Prometheus ,3.5
Stuart Little 2 ,2.7
Elysium ,3.3
The Chronicles of Riddick ,3.35
RoboCop ,3.1
Speed Racer ,3.05
How Do You Know ,2.65
Knight and Day ,3.15
Oblivion ,3.5
Star Wars: Episode III - Revenge of the Sith ,3.8
Star Wars: Episode II - Attack of the Clones ,3.35
"Monsters, Inc. ",4.05
The Wolverine ,3.35
Star Wars: Episode I - The Phantom Menace ,3.25
The Croods ,3.65
Asterix at the Olympic Games ,2.55
Windtalkers ,3.0
The Huntsman: Winter's War ,3.05
Teenage Mutant Ninja Turtles ,2.95
Gravity ,3.9
Dante's Peak ,2.9
Teenage Mutant Ninja Turtles: Out of the Shadows ,3.15
Fantastic Four ,2.15
Night at the Museum ,3.2
San Andreas ,3.05
Tomorrow Never Dies ,3.25
The Patriot ,3.55
Ocean's Twelve ,3.2
Mr. & Mrs. Smith ,3.25
Insurgent ,3.15
The Aviator ,3.75
Gulliver's Travels ,2.45
The Green Hornet ,2.9
The A-Team             ,3.8
300: Rise of an Empire ,3.1
The Smurfs ,2.75
Home on the Range ,2.7
Allegiant ,2.9
Real Steel ,3.55
The Smurfs 2 ,2.7
Speed 2: Cruise Control ,1.85
Ender's Game ,3.35
Live Free or Die Hard ,3.6
The Lord of the Rings: The Fellowship of the Ring ,4.4
Around the World in 80 Days ,2.9
Ali ,3.4
The Cat in the Hat ,1.9
"I, Robot ",3.55
Kingdom of Heaven ,3.6
Stuart Little ,2.95
The Princess and the Frog ,3.55
The Martian ,4.05
"10,000 B.C.             ",3.6
The Island ,3.45
Town & Country ,2.2
Gone in Sixty Seconds ,3.25
Gladiator ,4.25
Minority Report ,3.85
Harry Potter and the Chamber of Secrets ,3.7
Casino Royale ,4.0
Planet of the Apes ,2.85
Terminator 2: Judgment Day ,4.25
Public Enemies ,3.5
American Gangster ,3.9
True Lies ,3.6
The Taking of Pelham 1 2 3 ,3.2
Little Fockers ,2.75
The Other Guys ,3.35
Eraser ,3.05
Django Unchained ,4.25
The Hunchback of Notre Dame ,3.45
The Emperor's New Groove ,3.65
The Expendables 2 ,3.35
National Treasure ,3.45
Eragon ,2.55
Where the Wild Things Are ,3.4
Pan ,2.9
Epic ,3.35
The Tourist ,3.0
End of Days ,2.85
Blood Diamond ,4.0
The Wolf of Wall Street ,4.1
Batman Forever ,2.7
Starship Troopers ,3.6
Cloud Atlas ,3.75
Legend of the Guardians: The Owls of Ga'Hoole ,3.5
Catwoman ,1.65
Hercules ,3.0
Treasure Planet ,3.55
Land of the Lost ,2.7
The Expendables 3 ,3.05
Point Break ,2.65
Son of the Mask ,1.1
In the Heart of the Sea ,3.5
The Adventures of Pluto Nash ,1.9
Green Zone ,3.45
The Peanuts Movie ,3.6
The Spanish Prisoner ,3.65
The Mummy Returns ,3.15
Gangs of New York ,3.75
The Flowers of War ,3.8
Surf's Up ,3.4
The Stepford Wives ,2.6
Black Hawk Down ,3.85
The Campaign ,3.1
The Fifth Element ,3.85
Sex and the City 2 ,2.15
The Road to El Dorado ,3.45
Ice Age: Continental Drift ,3.3
Cinderella ,3.5
The Lovely Bones ,3.35
Finding Nemo ,4.1
The Lord of the Rings: The Return of the King ,4.45
The Lord of the Rings: The Two Towers ,4.35
Seventh Son ,2.75
Lara Croft: Tomb Raider ,2.85
Transcendence ,3.15
Jurassic Park III ,2.95
Rise of the Planet of the Apes ,3.8
The Spiderwick Chronicles ,3.3
A Good Day to Die Hard ,2.65
The Alamo ,3.0
The Incredibles ,4.0
Cutthroat Island ,2.8
Percy Jackson & the Olympians: The Lightning Thief ,2.95
Men in Black ,3.65
Toy Story 2 ,3.95
Unstoppable ,3.4
Rush Hour 2 ,3.3
What Lies Beneath ,3.3
Cloudy with a Chance of Meatballs ,3.5
Ice Age: Dawn of the Dinosaurs ,3.5
The Secret Life of Walter Mitty ,3.65
Charlie's Angels ,2.75
The Departed ,4.25
Mulan ,3.75
Tropic Thunder ,3.5
The Girl with the Dragon Tattoo ,3.9
Die Hard with a Vengeance ,3.8
Sherlock Holmes ,3.8
Ben-Hur ,3.05
Atlantis: The Lost Empire ,3.4
Alvin and the Chipmunks: The Road Chip ,2.5
Valkyrie ,3.55
You Don't Mess with the Zohan ,2.75
Pixels ,2.8
A.I. Artificial Intelligence ,3.55
The Haunted Mansion ,2.45
Contact ,3.7
Hollow Man ,2.85
The Interpreter ,3.2
Percy Jackson: Sea of Monsters ,2.95
Lara Croft Tomb Raider: The Cradle of Life ,2.75
Now You See Me 2 ,3.45
The Saint ,3.1
Spy Game ,3.5
Mission to Mars ,2.8
Rio ,3.5
Bicentennial Man ,3.4
Volcano ,2.7
The Devil's Own ,3.05
K-19: The Widowmaker ,3.35
Fantastic Four ,2.15
Conan the Barbarian ,3.45
Cinderella Man ,4.0
The Nutcracker in 3D ,2.2
Seabiscuit ,3.65
Twister ,3.15
The Fast and the Furious ,3.35
Cast Away ,3.85
Happy Feet ,3.25
The Bourne Supremacy ,3.9
Air Force One ,3.2
Ocean's Eleven ,3.9
The Three Musketeers ,2.9
Hotel Transylvania ,3.55
Enchanted ,3.55
Hannibal             ,4.3
Safe House ,3.4
102 Dalmatians ,2.4
Tower Heist ,3.1
The Holiday ,3.45
Enemy of the State ,3.65
It's Complicated ,3.3
Ocean's Thirteen ,3.45
Open Season ,3.1
Divergent ,3.35
Enemy at the Gates ,3.8
The Rundown ,3.35
Last Action Hero ,3.1
Memoirs of a Geisha ,3.65
The Fast and the Furious: Tokyo Drift ,3.0
Arthur Christmas ,3.55
Meet Joe Black ,3.55
Collateral Damage ,2.75
All That Jazz ,3.9
Mirror Mirror ,2.8
Scott Pilgrim vs. the World ,3.75
The Core ,2.7
Nutty Professor II: The Klumps ,2.15
Scooby-Doo ,2.45
Dredd ,3.55
Click ,3.2
Creepshow ,3.45
Cats & Dogs: The Revenge of Kitty Galore ,2.15
Jumper ,3.05
Hellboy II: The Golden Army ,3.5
Zodiac ,3.85
The 6th Day ,2.95
Bruce Almighty ,3.35
The Expendables ,3.25
Mission: Impossible ,3.55
The Hunger Games ,3.65
The Hangover Part II ,3.25
Batman Returns ,3.5
Over the Hedge ,3.4
Lilo & Stitch ,3.6
Charlotte's Web ,3.2
Deep Impact ,3.05
RED 2 ,3.35
The Longest Yard ,3.2
Alvin and the Chipmunks: Chipwrecked ,2.2
Grown Ups 2 ,2.7
Get Smart ,3.25
Something's Gotta Give ,3.35
Shutter Island ,4.05
Four Christmases ,2.8
Robots ,3.15
Face/Off ,3.65
Bedtime Stories ,3.05
Road to Perdition ,3.85
Just Go with It ,3.2
Daredevil             ,4.4
Con Air ,3.4
Eagle Eye ,3.3
Cold Mountain ,3.6
The Book of Eli ,3.45
Flubber ,2.6
The Haunting ,2.45
Space Jam ,3.15
The Pink Panther ,2.8
The Day the Earth Stood Still ,2.75
Conspiracy Theory ,3.35
Fury ,3.8
Six Days Seven Nights ,2.85
Yogi Bear ,2.3
Spirit: Stallion of the Cimarron ,3.5
Zookeeper ,2.6
Lost in Space ,2.55
The Manchurian Candidate ,3.3
Déjà Vu ,3.5
Hotel Transylvania 2 ,3.35
Bewitched             ,3.8
Fantasia 2000 ,3.65
The Time Machine ,2.95
Mighty Joe Young ,2.8
Swordfish ,3.25
The Legend of Zorro ,2.95
What Dreams May Come ,3.5
Little Nicky ,2.65
The Brothers Grimm ,2.95
Mars Attacks! ,3.15
Evolution ,3.2
The Edge ,3.45
Surrogates ,3.15
Thirteen Days ,3.65
Daylight ,2.9
Walking with Dinosaurs 3D ,2.6
Battlefield Earth ,1.2
Looney Tunes: Back in Action ,2.85
Nine ,2.9
Timeline ,2.8
The Postman ,3.0
Babe: Pig in the City ,2.9
The Last Witch Hunter ,3.0
Red Planet ,2.85
Arthur and the Invisibles ,3.0
Oceans ,3.9
A Sound of Thunder ,2.1
Pompeii ,2.8
Top Cat Begins ,2.2
A Beautiful Mind ,4.1
The Lion King ,4.25
Journey 2: The Mysterious Island ,2.9
Cloudy with a Chance of Meatballs 2 ,3.25
Red Dragon ,3.6
Hidalgo ,3.35
Jack and Jill ,1.7
2 Fast 2 Furious ,2.95
The Little Prince ,3.9
The Invasion ,2.95
The Adventures of Rocky & Bullwinkle ,2.05
The Secret Life of Pets ,3.4
The League of Extraordinary Gentlemen ,2.9
Despicable Me 2 ,3.75
Independence Day ,3.45
The Lost World: Jurassic Park ,3.25
Madagascar ,3.45
Children of Men ,3.95
X-Men ,3.7
Wanted ,3.35
The Rock ,3.7
Ice Age: The Meltdown ,3.45
50 First Dates ,3.4
Hairspray ,3.35
Exorcist: The Beginning ,2.55
Inspector Gadget ,2.05
Now You See Me ,3.65
Grown Ups ,3.0
The Terminal ,3.65
Constantine             ,3.75
Hotel for Dogs ,2.7
Vertical Limit ,2.95
Charlie Wilson's War ,3.55
Shark Tale ,3.0
Dreamgirls ,3.25
Life             ,4.15
Be Cool ,2.85
Munich ,3.8
Tears of the Sun ,3.3
Killers ,2.7
The Man from U.N.C.L.E. ,3.65
Spanglish ,3.25
Monster House ,3.3
Bandits ,3.3
First Knight ,2.95
Anna and the King ,3.35
Immortals ,3.05
Hostage ,3.3
Titan A.E. ,3.3
Hollywood Homicide ,2.65
Soldier ,3.0
Carriers ,3.0
Monkeybone ,2.35
Flight of the Phoenix ,3.05
Unbreakable ,3.6
Minions ,3.2
Sucker Punch ,3.05
Snake Eyes ,2.95
Sphere ,3.0
The Angry Birds Movie ,3.15
Fool's Gold ,2.8
Funny People ,3.2
The Kingdom ,3.55
Talladega Nights: The Ballad of Ricky Bobby ,3.3
Dr. Dolittle 2 ,2.3
Braveheart ,4.2
Jarhead ,3.55
The Simpsons Movie ,3.7
The Majestic ,3.45
Driven ,2.25
Two Brothers ,3.55
The Village ,3.25
Doctor Dolittle ,2.65
Signs ,3.35
Shrek 2 ,3.6
Cars ,3.6
Runaway Bride ,2.75
xXx ,2.9
The SpongeBob Movie: Sponge Out of Water ,3.0
Ransom ,3.3
Inglourious Basterds ,4.15
Hook ,3.35
Hercules ,3.0
Die Hard 2 ,3.55
S.W.A.T. ,3.0
Sleepy Hollow             ,3.75
Vanilla Sky ,3.45
Lady in the Water ,2.8
AVP: Alien vs. Predator ,2.8
Alvin and the Chipmunks: The Squeakquel ,2.25
We Were Soldiers ,3.55
Olympus Has Fallen ,3.25
Star Trek: Insurrection ,3.2
Battle Los Angeles ,2.9
Big Fish ,4.0
Wolf ,3.1
War Horse ,3.6
The Monuments Men ,3.05
The Abyss ,3.8
Wall Street: Money Never Sleeps ,3.15
Dracula Untold ,3.15
The Siege ,3.15
Stardust ,3.85
Seven Years in Tibet ,3.5
The Dilemma ,2.65
Bad Company ,2.8
Doom ,2.6
I Spy ,2.7
Underworld: Awakening ,3.2
Rock of Ages ,2.95
Hart's War ,3.15
Killer Elite ,3.25
Rollerball ,1.5
Ballistic: Ecks vs. Sever ,1.8
Hard Rain ,2.9
Osmosis Jones ,3.1
Legends of Oz: Dorothy's Return ,2.8
Blackhat ,2.7
Sky Captain and the World of Tomorrow ,3.05
Basic Instinct 2 ,2.1
Escape Plan ,3.35
The Legend of Hercules ,2.1
The Sum of All Fears ,3.2
The Twilight Saga: Eclipse ,2.45
The Score ,3.4
Despicable Me ,3.85
Money Train ,2.8
Ted 2 ,3.2
Agora ,3.6
Mystery Men ,3.0
Hall Pass ,2.95
The Insider ,3.95
The Finest Hours ,3.4
Body of Lies ,3.55
Dinner for Schmucks ,2.95
Abraham Lincoln: Vampire Hunter ,2.95
Entrapment ,3.1
Last Man Standing             ,3.7
The X Files ,3.5
The Last Legion ,2.7
Saving Private Ryan ,4.3
Need for Speed ,3.25
What Women Want ,3.2
Ice Age ,3.8
Dreamcatcher ,2.75
Lincoln ,3.7
The Matrix ,4.35
Apollo 13 ,3.8
Total Recall ,3.75
The Santa Clause 2 ,2.75
Les Misérables ,3.8
You've Got Mail ,3.25
Step Brothers ,3.45
