director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords,comb
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar,avatar future marine native paraplegic,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi avatar future marine native paraplegic
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end,goddess marriage ceremony marriage proposal pirate singapore,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy goddess marriage ceremony marriage proposal pirate singapore
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre,bomb espionage sequel spy terrorist,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller bomb espionage sequel spy terrorist
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises,deception imprisonment lawlessness police officer terrorist plot,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller deception imprisonment lawlessness police officer terrorist plot
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter,alien american civil war male nipple mars princess,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi alien american civil war male nipple mars princess
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,17th century based on fairy tale disney flower tower,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance 17th century based on fairy tale disney flower tower
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron,artificial intelligence based on comic book captain america marvel cinematic universe superhero,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi artificial intelligence based on comic book captain america marvel cinematic universe superhero
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,blood book love potion professor,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery blood book love potion professor
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice,based on comic book batman sequel to a reboot superhero superman,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi based on comic book batman sequel to a reboot superhero superman
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns,crystal epic lex luthor lois lane return to earth,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi crystal epic lex luthor lois lane return to earth
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace,action hero attempted rape bond girl official james bond series revenge,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure action hero attempted rape bond girl official james bond series revenge
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,box office hit giant squid heart liar's dice monster,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy box office hit giant squid heart liar's dice monster
